School,URL,Street,City,State,CMS
Peru High School,http://www.peru.k12.in.us/,401 N Broadway,Peru,IN,none
Pierceton Woods Academy,https://www.searchonamerica.com/place/pierceton-woods-academy_8713149.html,27 Pequignot Dr,Pierceton,IN,none
Perry Central Jr-Sr High School,http://www.pccs.k12.in.us/,18677 Old SR 37,Leopold,IN,none
Pierre Moran Middle School,http://elkhart.k12.in.us/,200 W Lusher Ave,Elkhart,IN,none
pilotED Schools Bethel Park,https://find.enrollindy.org/schools/0013600001GoszTAAR,2710 Bethel Ave,Indianapolis,IN,none
Pittsboro Primary School,http://www.hendricks.k12.in.us/pps/,540 Osborne St,Pittsboro,IN,none
Pittsboro Elementary School,http://www.hendricks.k12.in.us/pes/,206 N Meridian St,Pittsboro,IN,none
Pine Village Elementary School,http://www.msdwarco.k12.in.us/index.php,Pine Village Elementary School,Pine Village,IN,none
Pleasant Ridge Elementary School,http://pres.gcs.k12.in.us/,1250 Monroe St,Charlestown,IN,none
Peifer Elementary School,http://peifer.lcsc.us/,1824 S Cline,Schererville,IN,none
Peru Junior High School,http://www.peru.k12.in.us/,30 E Daniel St,Peru,IN,none
Perry Meridian High School,http://www.perryschools.org/,401 W Meridian School Rd,Indianapolis,IN,none
Parkside Elementary School,https://parkside.goshenschools.org/,1202 S 7th St,Goshen,IN,none
Pendleton Elementary School,https://pendleton.k12.or.us/,327 S East St,Pendleton,IN,none
Pleasant Run Elementary School,http://www.warren.k12.in.us/,1800 N Franklin Rd,Indianapolis,IN,none
Pleasant Hill Elementary School,http://phes.nm.k12.in.us/,6895 N 100 W,Crawfordsville,IN,none
Penn High School,https://penn.phmschools.org/,56100 Bittersweet Rd,Mishawaka,IN,none
Our Lady Of Hungary School,http://ourladyofhungary.com/,735 W Calvert St,South Bend,IN,none
Resurrection School,http://www.resurrectioncatholicschool.org/,5301 New Harmony Rd,Evansville,IN,none
Queen Of Angels School,https://www.queenofangelsfw.org/,1600 W State Blvd,Fort Wayne,IN,none
Plymouth High School,http://www.plymouth.k12.wi.us/,1 Big Red Dr,Plymouth,IN,none
Prosser Career Education Center,https://prosser.nafcs.k12.in.us/,4202 Charlestown Rd,New Albany,IN,none
Queen of Peace School,https://www.queenofpeace.cc/,4508 Vistula Rd,Mishawaka,IN,none
Porter County Career Center,http://pccte.org/,1005 N Franklin,Valparaiso,IN,none
Providence Cristo Rey High School,http://www.pcrhs.org/,75 N Belleview Pl,Indianapolis,IN,none
Rhoades Elementary School,http://bdhs.wayne.k12.in.us/,502 S Auburn St,Indianapolis,IN,none
Redeemer Lutheran School,http://redeemerlutheranschoolkokomo.org/,705 Southway Blvd E,Kokomo,IN,none
Portage Middle School,https://www.fwcs.k12.in.us/,3521 Taylor St,Fort Wayne,IN,none
Purdue Polytechnic High School Ind,https://pphs.purdue.edu/,"525 S Meridian St, Suite LLA",Indianapolis,IN,none
Raymond Park Intermediate,http://raymondpark.warren.k12.in.us/,8575 E Raymond St,Indianapolis,IN,none
Princeton Comm Primary School,http://www.ngsc.k12.in.us/,813 West Archer Road,Princeton,IN,none
Pope John XXIII Elementary School,http://www.popeace.org/,221 W State St,Madison,IN,none
Poston Road Elementary School,https://www.msdofmartinsville.org/,139 E Poston Rd,Martinsville,IN,none
Resurrection Lutheran Academy,https://www.rlasouthbend.com/,6840 Nimtz Pkwy,South Bend,IN,none
R Nelson Snider High School,https://www.fortwayneschools.org/schools/school-pages.php?school=0102,4600 Fairlawn Pass,Fort Wayne,IN,none
Richmond High School,http://www.rcs.k12.in.us/schools/richmond-high-school,380 Hub Etchison Pky,Richmond,IN,none
Queen Of All Saints School,https://www.qas-school.org/school-site,1715 E Barker Ave,Michigan City,IN,none
Rensselaer Middle School,http://rcms.rensselaerschools.org/,1106 Bomber Blvd,Rensselaer,IN,none
Raymond Park Middle School,http://www.warren.k12.in.us/,8575 E Raymond St,Indianapolis,IN,none
Renaissance Academy Charter School,http://www.rschool.net/,4093 W US Hwy 20,LaPorte,IN,none
Prairie Vista Elementary School,https://prairievista.phmschools.org/,15400 Brick Rd,Granger,IN,none
Princeton Comm Intermediate School,http://www.ngsc.k12.in.us/,1104 N Embree St,Princeton,IN,none
Portage Christian School,http://www.portagechristianschool.org/,3040 Arlene St,Portage,IN,none
Protsman Elementary School,http://peifer.lcsc.us/,1121 Harrison,Dyer,IN,none
Randolph Southern Jr-Sr High Sch,http://www.rssc.k12.in.us/,1 Rebel Drive,Lynn,IN,none
Rensselaer Central Primary School,http://www.rensselaerschools.org/,1144 N Melville St,Rensselaer,IN,none
Rensselaer Central High School,http://rchs.rensselaerschools.org/,1106 E Grace St,Rensselaer,IN,none
Rise Up Academy at Eggleston,http://www.mayflowerschools.info/,19010 Adams Rd,South Bend,IN,none
River Valley Middle School,http://rvms.gcs.k12.in.us/,2220 Veterans Pky,Jeffersonville,IN,none
Riley Elementary School,http://www.lpcsc.k12.in.us/hailmann/,516 Weller Ave,LaPorte,IN,none
Rock Creek Community Academy,http://rccasi.org/,11525 Highway 31,Sellersburg,IN,none
