Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
Thomas Jefferson School #9 - Garfield Public School District,Education,New Jersey Public Records - School Data,Thomas Jefferson School #9,Garfield Public School District - Bergen County,Bergen,None,62 Alpine Street,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Thomas Paine Elementary School - Cherry Hill School District,Education,New Jersey Public Records - School Data,Thomas Paine Elementary School,Cherry Hill School District - Camden County,Camden,None,4001 Church Rd.,,Cherry Hill,United States,1/25/19 23:55,Brandon Lipman,
Thomas R Grover Middle School - West Windsor-Plainsboro Regional School District,Education,New Jersey Public Records - School Data,Thomas R Grover Middle School,West Windsor-Plainsboro Regional School District - Mercer County,Mercer,None,10 Southfield Road,,West Windsor,United States,1/25/19 23:56,Brandon Lipman,
Thomas Richards Elementary - Waterford Township School District,Education,New Jersey Public Records - School Data,Thomas Richards Elementary,Waterford Township School District - Camden County,Camden,None,934 Lincoln Ave,,Atco,United States,1/25/19 23:55,Brandon Lipman,
Thomas Sharp Elementary School - Collingswood Public School District,Education,New Jersey Public Records - School Data,Thomas Sharp Elementary School,Collingswood Public School District - Camden County,Camden,None,400 Comly Ave,,West Collingswood,United States,1/25/19 23:55,Brandon Lipman,
Thomas W. Wallace Jr. Middle School - Vineland Public School District,Education,New Jersey Public Records - School Data,Thomas W. Wallace Jr. Middle School,Vineland Public School District - Cumberland County,Cumberland,None,688 North Mill Road,,Vineland,United States,1/25/19 23:55,Brandon Lipman,
Three Bridges School - Readington Township School District,Education,New Jersey Public Records - School Data,Three Bridges School,Readington Township School District - Hunterdon County,Hunterdon,None,480 Main Street,,Three Bridges,United States,1/25/19 23:56,Brandon Lipman,
Thurgood Marshall Elementary School - Irvington Public School District,Education,New Jersey Public Records - School Data,Thurgood Marshall Elementary School,Irvington Public School District - Essex County,Essex,None,141 181 Montgomery Avenue,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
Timber Creek Regional High School - Black Horse Pike Regional School District,Education,New Jersey Public Records - School Data,Timber Creek Regional High School,Black Horse Pike Regional School District - Camden County,Camden,None,501 Jarvis Road,,Erial,United States,1/25/19 23:55,Brandon Lipman,
Timberlane Middle School - Hopewell Valley Regional School District,Education,New Jersey Public Records - School Data,Timberlane Middle School,Hopewell Valley Regional School District - Mercer County,Mercer,None,51 S Timberlane Drive,,Pennington,United States,1/25/19 23:56,Brandon Lipman,
Toll Gate Grammar School - Hopewell Valley Regional School District,Education,New Jersey Public Records - School Data,Toll Gate Grammar School,Hopewell Valley Regional School District - Mercer County,Mercer,None,275 So Main Street,,Pennington,United States,1/25/19 23:56,Brandon Lipman,
Town Center Elementary School At Plainsboro - West Windsor-Plainsboro Regional School District,Education,New Jersey Public Records - School Data,Town Center Elementary School At Plainsboro,West Windsor-Plainsboro Regional School District - Mercer County,Mercer,None,700 Wyndhurst Drive,,Plainsboro,United States,1/25/19 23:56,Brandon Lipman,
Travell Elementary School - Ridgewood Public School District,Education,New Jersey Public Records - School Data,Travell Elementary School,Ridgewood Public School District - Bergen County,Bergen,None,340 Bogert Ave,,Ridgewood,United States,1/25/19 23:54,Brandon Lipman,
Trenton Central High School-9Th Grade Academy - Trenton Public School District,Education,New Jersey Public Records - School Data,Trenton Central High School-9Th Grade Academy,Trenton Public School District - Mercer County,Mercer,None,500 Perry Street,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Trenton Central High School - Main Campus - Trenton Public School District,Education,New Jersey Public Records - School Data,Trenton Central High School - Main Campus,Trenton Public School District - Mercer County,Mercer,None,171 Division Street,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Triton Regional High School - Black Horse Pike Regional School District,Education,New Jersey Public Records - School Data,Triton Regional High School,Black Horse Pike Regional School District - Camden County,Camden,None,250 Schubert Ave,,Runnemede,United States,1/25/19 23:55,Brandon Lipman,
Tuscan Elementary School - South Orange-Maplewood School District,Education,New Jersey Public Records - School Data,Tuscan Elementary School,South Orange-Maplewood School District - Essex County,Essex,None,25 Harvard Ave,,Maplewood,United States,1/25/19 23:56,Brandon Lipman,
Twin Hills Elementary School - Willingboro Public School District,Education,New Jersey Public Records - School Data,Twin Hills Elementary School,Willingboro Public School District - Burlington County,Burlington,None,110 Twin Hill Drive,,Willingboro,United States,1/25/19 23:55,Brandon Lipman,
Union Avenue Middle School - Irvington Public School District,Education,New Jersey Public Records - School Data,Union Avenue Middle School,Irvington Public School District - Essex County,Essex,None,427 Union Ave,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
Union City Evening High School - Union City School District,Education,New Jersey Public Records - School Data,Union City Evening High School,Union City School District - Hudson County,Hudson,None,2215 Kerrigan Avenue,,Union City,United States,1/25/19 23:56,Brandon Lipman,
Union City High School - Union City School District,Education,New Jersey Public Records - School Data,Union City High School,Union City School District - Hudson County,Hudson,None,2500 Kennedy Blvd,,Union City,United States,1/25/19 23:56,Brandon Lipman,
Union Hill Middle School - Union City School District,Education,New Jersey Public Records - School Data,Union Hill Middle School,Union City School District - Hudson County,Hudson,None,3800 Hudson Ave,,Union City,United States,1/25/19 23:56,Brandon Lipman,
Union School - Rutherford School District,Education,New Jersey Public Records - School Data,Union School,Rutherford School District - Bergen County,Bergen,None,359 Union Ave,,Rutherford,United States,1/25/19 23:54,Brandon Lipman,
Union Township Elementary School - Union Township School District,Education,New Jersey Public Records - School Data,Union Township Elementary School,Union Township School District - Hunterdon County,Hunterdon,None,149 Perryville Road,,Hampton,United States,1/25/19 23:56,Brandon Lipman,
Union Township Middle School - Union Township School District,Education,New Jersey Public Records - School Data,Union Township Middle School,Union Township School District - Hunterdon County,Hunterdon,None,165 Perryville Road,,Hampton,United States,1/25/19 23:56,Brandon Lipman,
Union Valley Elementary School - Gloucester Township Public Schools,Education,New Jersey Public Records - School Data,Union Valley Elementary School,Gloucester Township Public Schools - Camden County,Camden,None,1300 Jarvis Road,,Sicklerville,United States,1/25/19 23:55,Brandon Lipman,
University Elementary School - Irvington Public School District,Education,New Jersey Public Records - School Data,University Elementary School,Irvington Public School District - Essex County,Essex,None,1 University Place,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
University Heights Elementary School - Hamilton Township Public School District,Education,New Jersey Public Records - School Data,University Heights Elementary School,Hamilton Township Public School District - Mercer County,Mercer,None,645 Paxson Avenue,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
University High School - Newark Public School District,Education,New Jersey Public Records - School Data,University High School,Newark Public School District - Essex County,Essex,None,55 Clinton Pl,,Newark,United States,1/25/19 23:55,Brandon Lipman,
University Middle School - Irvington Public School District,Education,New Jersey Public Records - School Data,University Middle School,Irvington Public School District - Essex County,Essex,None,255 Myrtle Ave,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
Uplift Academy - Newark Public School District,Education,New Jersey Public Records - School Data,Uplift Academy,Newark Public School District - Essex County,Essex,None,150 Newton St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Upper School - Englewood Cliffs School District,Education,New Jersey Public Records - School Data,Upper School,Englewood Cliffs School District - Bergen County,Bergen,None,143 Charlotte Pl,,Englewood Cliffs,United States,1/25/19 23:54,Brandon Lipman,
Upper Township Elementary School - Upper Township School District,Education,New Jersey Public Records - School Data,Upper Township Elementary School,Upper Township School District - Cape May County,Cape May,None,50 Old Tuckahoe Rd,,Marmora,United States,1/25/19 23:55,Brandon Lipman,
Upper Township Middle School - Upper Township School District,Education,New Jersey Public Records - School Data,Upper Township Middle School,Upper Township School District - Cape May County,Cape May,None,525 Perry Rd,,Petersburg,United States,1/25/19 23:55,Brandon Lipman,
Upper Township Primary School - Upper Township School District,Education,New Jersey Public Records - School Data,Upper Township Primary School,Upper Township School District - Cape May County,Cape May,None,130 Old Tuckahoe Rd,,Marmora,United States,1/25/19 23:55,Brandon Lipman,
Uptown School Complex - Atlantic City School District,Education,New Jersey Public Records - School Data,Uptown School Complex,Atlantic City School District - Atlantic County,Atlantic,None,323 Madison Avenue,,Atlantic City,United States,1/25/19 23:54,Brandon Lipman,
Valley Middle School - Oakland Public School District,Education,New Jersey Public Records - School Data,Valley Middle School,Oakland Public School District - Bergen County,Bergen,None,71 Oak St,,Oakland,United States,1/25/19 23:54,Brandon Lipman,
Valley View School - Lebanon Township School District,Education,New Jersey Public Records - School Data,Valley View School,Lebanon Township School District - Hunterdon County,Hunterdon,None,400 Route 513,,Califon,United States,1/25/19 23:56,Brandon Lipman,
Van Sciver Elementary School - Haddon Township School District,Education,New Jersey Public Records - School Data,Van Sciver Elementary School,Haddon Township School District - Camden County,Camden,None,625 Rhoads Avenue,,Haddonfield,United States,1/25/19 23:55,Brandon Lipman,
Venice Park School - Atlantic City School District,Education,New Jersey Public Records - School Data,Venice Park School,Atlantic City School District - Atlantic County,Atlantic,None,1601 N Penrose Avenue,,Atlantic City,United States,1/25/19 23:54,Brandon Lipman,
Ventnor Elementary School - Ventnor City School District,Education,New Jersey Public Records - School Data,Ventnor Elementary School,Ventnor City School District - Atlantic County,Atlantic,None,400 N Lafayette Avenue,,Ventnor,United States,1/25/19 23:54,Brandon Lipman,
Ventnor Middle School - Ventnor City School District,Education,New Jersey Public Records - School Data,Ventnor Middle School,Ventnor City School District - Atlantic County,Atlantic,None,Ventnor Educational Community 400 N Lafayette Avenue,,Ventnor,United States,1/25/19 23:54,Brandon Lipman,
Verona High School - Verona Public School District,Education,New Jersey Public Records - School Data,Verona High School,Verona Public School District - Essex County,Essex,None,151 Fairview Ave,,Verona,United States,1/25/19 23:56,Brandon Lipman,
Veterans' Memorial Elementary School - Union City School District,Education,New Jersey Public Records - School Data,Veterans' Memorial Elementary School,Union City School District - Hudson County,Hudson,None,1401 Central Avenue,,Union City,United States,1/25/19 23:56,Brandon Lipman,
Veterans Memorial Family School - Camden City School District,Education,New Jersey Public Records - School Data,Veterans Memorial Family School,Camden City School District - Camden County,Camden,None,800 N 26Th Street,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Veterans Memorial Middle - Vineland Public School District,Education,New Jersey Public Records - School Data,Veterans Memorial Middle,Vineland Public School District - Cumberland County,Cumberland,None,424 S Main Rd,,Vineland,United States,1/25/19 23:55,Brandon Lipman,
Village Elementary School - West Windsor-Plainsboro Regional School District,Education,New Jersey Public Records - School Data,Village Elementary School,West Windsor-Plainsboro Regional School District - Mercer County,Mercer,None,601 New Village Road,,West Windsor,United States,1/25/19 23:56,Brandon Lipman,
Vineland Senior High School - Vineland Public School District,Education,New Jersey Public Records - School Data,Vineland Senior High School,Vineland Public School District - Cumberland County,Cumberland,None,2880 E Chestnut Ave,,Vineland,United States,1/25/19 23:55,Brandon Lipman,
Voorhees High School - North Hunterdon-Voorhees Regional High School District,Education,New Jersey Public Records - School Data,Voorhees High School,North Hunterdon-Voorhees Regional High School District - Hunterdon County,Hunterdon,None,256 County Route 513,,Glen Gardner,United States,1/25/19 23:56,Brandon Lipman,
Voorhees Middle School - Voorhees Township School District,Education,New Jersey Public Records - School Data,Voorhees Middle School,Voorhees Township School District - Camden County,Camden,None,1000 Holly Oak Dr,,Voorhees,United States,1/25/19 23:55,Brandon Lipman,
Wahlstrom Early Childhood Academy - East Orange School District,Education,New Jersey Public Records - School Data,Wahlstrom Early Childhood Academy,East Orange School District - Essex County,Essex,None,340 Prospect Street,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
Waldwick High School - Waldwick School District,Education,New Jersey Public Records - School Data,Waldwick High School,Waldwick School District - Bergen County,Bergen,None,155 Wyckoff Avenue,,Waldwick,United States,1/25/19 23:54,Brandon Lipman,
Waldwick Middle School - Waldwick School District,Education,New Jersey Public Records - School Data,Waldwick Middle School,Waldwick School District - Bergen County,Bergen,None,155 Wyckoff Avenue,,Waldwick,United States,1/25/19 23:54,Brandon Lipman,
Wallace Elementary School - Hoboken Public School District,Education,New Jersey Public Records - School Data,Wallace Elementary School,Hoboken Public School District - Hudson County,Hudson,None,1100 Willow Avenue,,Hoboken,United States,1/25/19 23:56,Brandon Lipman,
Wallington Junior Senior High School - Wallington Boro School District,Education,New Jersey Public Records - School Data,Wallington Junior Senior High School,Wallington Boro School District - Bergen County,Bergen,None,234 Main Ave,,Wallington,United States,1/25/19 23:54,Brandon Lipman,
Walnut Street School - Delanco Township School District,Education,New Jersey Public Records - School Data,Walnut Street School,Delanco Township School District - Burlington County,Burlington,None,411 Walnut St,,Delanco,United States,1/25/19 23:56,Brandon Lipman,
Walnut Street School - Woodbury City Public School District,Education,New Jersey Public Records - School Data,Walnut Street School,Woodbury City Public School District - Gloucester County,Gloucester,None,60 Walnut Street,,Woodbury,United States,1/25/19 23:56,Brandon Lipman,
Walter C. Black Elementary School - East Windsor Regional School District,Education,New Jersey Public Records - School Data,Walter C. Black Elementary School,East Windsor Regional School District - Mercer County,Mercer,None,371 Stockton Street,,Hightstown,United States,1/25/19 23:56,Brandon Lipman,
Walter F. Robinson Community School - Bayonne School District,Education,New Jersey Public Records - School Data,Walter F. Robinson Community School,Bayonne School District - Hudson County,Hudson,None,95 West 31St Street,,Bayonne,United States,1/25/19 23:56,Brandon Lipman,
Walter Hill School - Swedesboro-Woolwich School District,Education,New Jersey Public Records - School Data,Walter Hill School,Swedesboro-Woolwich School District - Gloucester County,Gloucester,None,1815 Kings Highway,,Swedesboro,United States,1/25/19 23:56,Brandon Lipman,
Walter Stillman School - Tenafly Public School District,Education,New Jersey Public Records - School Data,Walter Stillman School,Tenafly Public School District - Bergen County,Bergen,None,75 Tenafly Road,,Tenafly,United States,1/25/19 23:54,Brandon Lipman,
Wandell School - Saddle River School Distict,Education,New Jersey Public Records - School Data,Wandell School,Saddle River School Distict - Bergen County,Bergen,None,97 E Allendale Rd,,Saddle River,United States,1/25/19 23:54,Brandon Lipman,
Warren E. Sooy Jr. Elementary School - Hammonton School District,Education,New Jersey Public Records - School Data,Warren E. Sooy Jr. Elementary School,Hammonton School District - Atlantic County,Atlantic,None,601 N Fourth Street,,Hammonton,United States,1/25/19 23:54,Brandon Lipman,
Warren Point Elementary School - Fair Lawn Public School District,Education,New Jersey Public Records - School Data,Warren Point Elementary School,Fair Lawn Public School District - Bergen County,Bergen,None,30-07 Broadway,,Fair Lawn,United States,1/25/19 23:54,Brandon Lipman,
Washington Avenue Elementary School - Pleasantville Public School District,Education,New Jersey Public Records - School Data,Washington Avenue Elementary School,Pleasantville Public School District - Atlantic County,Atlantic,None,225 W Washington Avenue,,Pleasantville,United States,1/25/19 23:54,Brandon Lipman,
Washington Community School #9 - Bayonne School District,Education,New Jersey Public Records - School Data,Washington Community School #9,Bayonne School District - Hudson County,Hudson,None,191 Avenue B,,Bayonne,United States,1/25/19 23:56,Brandon Lipman,
Washington Elementary School - Bergenfield Borough School District,Education,New Jersey Public Records - School Data,Washington Elementary School,Bergenfield Borough School District - Bergen County,Bergen,None,49 S Summit Street,,Bergenfield,United States,1/25/19 23:56,Brandon Lipman,
Washington Elementary School - Caldwell-West Caldwell School District,Education,New Jersey Public Records - School Data,Washington Elementary School,Caldwell-West Caldwell School District - Essex County,Essex,None,201 Central Ave,,West Caldwell,United States,1/25/19 23:56,Brandon Lipman,
Washington Elementary School - Kearny,Education,New Jersey Public Records - School Data,Washington Elementary School,Kearny - Hudson County,Hudson,None,80 Belgrove Dr,,Kearny,United States,1/25/19 23:56,Brandon Lipman,
Washington Elementary School - Little Ferry Public School District,Education,New Jersey Public Records - School Data,Washington Elementary School,Little Ferry Public School District - Bergen County,Bergen,None,130 Liberty St,,Little Ferry,United States,1/25/19 23:56,Brandon Lipman,
Washington Elementary School - North Arlington School District,Education,New Jersey Public Records - School Data,Washington Elementary School,North Arlington School District - Bergen County,Bergen,None,175 Albert Street,,North Arlington,United States,1/25/19 23:56,Brandon Lipman,
Washington Elementary School - Trenton Public School District,Education,New Jersey Public Records - School Data,Washington Elementary School,Trenton Public School District - Mercer County,Mercer,None,331 Emory Avenue,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Washington Elementary School - West Orange Public Schools,Education,New Jersey Public Records - School Data,Washington Elementary School,West Orange Public Schools - Essex County,Essex,None,289 Main St,,W Orange,United States,1/25/19 23:56,Brandon Lipman,
Washington Elementary School - Westwood Regional School District,Education,New Jersey Public Records - School Data,Washington Elementary School,Westwood Regional School District - Bergen County,Bergen,None,600 School Street,,Township Of Washington,United States,1/25/19 23:56,Brandon Lipman,
Washington Irving School #4 - Garfield Public School District,Education,New Jersey Public Records - School Data,Washington Irving School #4,Garfield Public School District - Bergen County,Bergen,None,12 Madonna Place,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Washington Middle School - Harrison Public Schools,Education,New Jersey Public Records - School Data,Washington Middle School,Harrison Public Schools - Hudson County,Hudson,None,One North Fifth Street,,Harrison,United States,1/25/19 23:56,Brandon Lipman,
Washington School - Lodi School District,Education,New Jersey Public Records - School Data,Washington School,Lodi School District - Bergen County,Bergen,None,310 N Main Street,,Lodi,United States,1/25/19 23:56,Brandon Lipman,
Washington School - Lyndhurst School District,Education,New Jersey Public Records - School Data,Washington School,Lyndhurst School District - Bergen County,Bergen,None,709 Ridge Rd,,Lyndhurst,United States,1/25/19 23:56,Brandon Lipman,
Washington School - Millburn Township School District,Education,New Jersey Public Records - School Data,Washington School,Millburn Township School District - Essex County,Essex,None,71 Spring Street,,Millburn,United States,1/25/19 23:56,Brandon Lipman,
Washington School - Nutley Public School District,Education,New Jersey Public Records - School Data,Washington School,Nutley Public School District - Essex County,Essex,None,155 Washington Ave,,Nutley,United States,1/25/19 23:56,Brandon Lipman,
Washington School - Rutherford School District,Education,New Jersey Public Records - School Data,Washington School,Rutherford School District - Bergen County,Bergen,None,89 Wood St,,Rutherford,United States,1/25/19 23:56,Brandon Lipman,
Washington School - Saddle Brook School District,Education,New Jersey Public Records - School Data,Washington School,Saddle Brook School District - Bergen County,Bergen,None,225 Market Street,,Saddle Brook,United States,1/25/19 23:56,Brandon Lipman,
Washington Township High School - Washington Township School District,Education,New Jersey Public Records - School Data,Washington Township High School,Washington Township School District - Gloucester County,Gloucester,None,519 Hurffville Crosskeys Rd,,Sewell,United States,1/25/19 23:56,Brandon Lipman,
Watchung Elementary School - Montclair Public School District,Education,New Jersey Public Records - School Data,Watchung Elementary School,Montclair Public School District - Essex County,Essex,None,14 Garden St,,Montclair,United States,1/25/19 23:55,Brandon Lipman,
Waterford Elementary School - Waterford Township School District,Education,New Jersey Public Records - School Data,Waterford Elementary School,Waterford Township School District - Camden County,Camden,None,1106 Old White Horse Pike,,Waterford,United States,1/25/19 23:55,Brandon Lipman,
Watsessing Elementary School - Bloomfield Township School District,Education,New Jersey Public Records - School Data,Watsessing Elementary School,Bloomfield Township School District - Essex County,Essex,None,71 Prospect Street,,Bloomfield,United States,1/25/19 23:55,Brandon Lipman,
W.C.K. Walls Elementary School - Pitman Boro School District,Education,New Jersey Public Records - School Data,W.C.K. Walls Elementary School,Pitman Boro School District - Gloucester County,Gloucester,None,320 Grant Avenue,,Pitman,United States,1/25/19 23:56,Brandon Lipman,
Wedgwood Elementary School - Washington Township School District,Education,New Jersey Public Records - School Data,Wedgwood Elementary School,Washington Township School District - Gloucester County,Gloucester,None,236 Hurffville Rd,,Sewell,United States,1/25/19 23:56,Brandon Lipman,
Weehawken High School - Weehawken Public School District,Education,New Jersey Public Records - School Data,Weehawken High School,Weehawken Public School District - Hudson County,Hudson,None,53 Liberty Place,,Weehawken,United States,1/25/19 23:56,Brandon Lipman,
Weequahic High School - Newark Public School District,Education,New Jersey Public Records - School Data,Weequahic High School,Newark Public School District - Essex County,Essex,None,279 Chancellor Ave,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Wenonah Elementary School - Wenonah Boro School District,Education,New Jersey Public Records - School Data,Wenonah Elementary School,Wenonah Boro School District - Gloucester County,Gloucester,None,200 N Clinton Ave,,Wenonah,United States,1/25/19 23:56,Brandon Lipman,
Wesley D Tisdale Elementary School - Ramsey School District,Education,New Jersey Public Records - School Data,Wesley D Tisdale Elementary School,Ramsey School District - Bergen County,Bergen,None,200 Island Avenue,,Ramsey,United States,1/25/19 23:54,Brandon Lipman,
Westampton Campus - Burlington County Special Services School District,Education,New Jersey Public Records - School Data,Westampton Campus,Burlington County Special Services School District - Burlington County,Burlington,None,20 Pioneer Blvd,,Westampton,United States,1/25/19 23:54,Brandon Lipman,
Westampton Township Middle School - Westampton Township Public School District,Education,New Jersey Public Records - School Data,Westampton Township Middle School,Westampton Township Public School District - Burlington County,Burlington,None,700 Rancocas Road,,Westampton,United States,1/25/19 23:55,Brandon Lipman,
West Amwell Township School - South Hunterdon Regional School District,Education,New Jersey Public Records - School Data,West Amwell Township School,South Hunterdon Regional School District - Hunterdon County,Hunterdon,None,1417 Rt 179,,Lambertville,United States,1/25/19 23:56,Brandon Lipman,
West Avenue School - Bridgeton City School District,Education,New Jersey Public Records - School Data,West Avenue School,Bridgeton City School District - Cumberland County,Cumberland,None,51 North West Avenue,,Bridgeton,United States,1/25/19 23:55,Brandon Lipman,
West Brook Middle School - Paramus Public School District,Education,New Jersey Public Records - School Data,West Brook Middle School,Paramus Public School District - Bergen County,Bergen,None,560 Roosevelt Boulevard,,Paramus,United States,1/25/19 23:54,Brandon Lipman,
West Cape May Elementary School - West Cape May Elementary School District,Education,New Jersey Public Records - School Data,West Cape May Elementary School,West Cape May Elementary School District - Cape May County,Cape May,None,301 Moore Street,,West Cape May,United States,1/25/19 23:55,Brandon Lipman,
West Deptford High School - West Deptford Township School District,Education,New Jersey Public Records - School Data,West Deptford High School,West Deptford Township School District - Gloucester County,Gloucester,None,1600 Old Crown Point Rd,,West Deptford,United States,1/25/19 23:56,Brandon Lipman,
West Deptford Middle School - West Deptford Township School District,Education,New Jersey Public Records - School Data,West Deptford Middle School,West Deptford Township School District - Gloucester County,Gloucester,None,675 Grove Rd,,West Deptford,United States,1/25/19 23:56,Brandon Lipman,
West End Memorial Elementary School - Woodbury City Public School District,Education,New Jersey Public Records - School Data,West End Memorial Elementary School,Woodbury City Public School District - Gloucester County,Gloucester,None,215 Queen Street,,Woodbury,United States,1/25/19 23:56,Brandon Lipman,
West Essex High School - West Essex Regional School District,Education,New Jersey Public Records - School Data,West Essex High School,West Essex Regional School District - Essex County,Essex,None,65 West Greenbrook Rd,,North Caldwell,United States,1/25/19 23:56,Brandon Lipman,
West Essex Middle School - West Essex Regional School District,Education,New Jersey Public Records - School Data,West Essex Middle School,West Essex Regional School District - Essex County,Essex,None,65 West Greenbrook Rd,,North Caldwell,United States,1/25/19 23:56,Brandon Lipman,
Westmoreland Elementary School - Fair Lawn Public School District,Education,New Jersey Public Records - School Data,Westmoreland Elementary School,Fair Lawn Public School District - Bergen County,Bergen,None,16-50 Parmelee Ave.,,Fair Lawn,United States,1/25/19 23:54,Brandon Lipman,
West New York Middle School - West New York Board Of Education,Education,New Jersey Public Records - School Data,West New York Middle School,West New York Board Of Education - Hudson County,Hudson,None,201 57Th St,,West New York,United States,1/25/19 23:56,Brandon Lipman,
West Orange High School - West Orange Public Schools,Education,New Jersey Public Records - School Data,West Orange High School,West Orange Public Schools - Essex County,Essex,None,51 Conforti Ave,,West Orange,United States,1/25/19 23:56,Brandon Lipman,
West Ridge Elementary School - Park Ridge School District,Education,New Jersey Public Records - School Data,West Ridge Elementary School,Park Ridge School District - Bergen County,Bergen,None,18 South First Street,,Park Ridge,United States,1/25/19 23:54,Brandon Lipman,
West Side High School - Newark Public School District,Education,New Jersey Public Records - School Data,West Side High School,Newark Public School District - Essex County,Essex,None,403 South Orange Avenue,,Newark,United States,1/25/19 23:55,Brandon Lipman,
West Windsor-Plainsboro High School North - West Windsor-Plainsboro Regional School District,Education,New Jersey Public Records - School Data,West Windsor-Plainsboro High School North,West Windsor-Plainsboro Regional School District - Mercer County,Mercer,None,90 Grovers Mill Road,,Plainsboro,United States,1/25/19 23:56,Brandon Lipman,
West Windsor-Plainsboro High School South - West Windsor-Plainsboro Regional School District,Education,New Jersey Public Records - School Data,West Windsor-Plainsboro High School South,West Windsor-Plainsboro Regional School District - Mercer County,Mercer,None,346 Clarksville Road,,West Windsor,United States,1/25/19 23:56,Brandon Lipman,
Westwood Junior/Senior High School - Westwood Regional School District,Education,New Jersey Public Records - School Data,Westwood Junior/Senior High School,Westwood Regional School District - Bergen County,Bergen,None,701 Ridgewood Road,,Township Of Washington,United States,1/25/19 23:54,Brandon Lipman,
Westwood Regional Middle School - Westwood Regional School District,Education,New Jersey Public Records - School Data,Westwood Regional Middle School,Westwood Regional School District - Bergen County,Bergen,None,23 Third Avenue,,Westwood,United States,1/25/19 23:54,Brandon Lipman,
Weymouth Township Elementary School - Weymouth Township School District,Education,New Jersey Public Records - School Data,Weymouth Township Elementary School,Weymouth Township School District - Atlantic County,Atlantic,None,1202 Eleventh Avenue,,Dorothy,United States,1/25/19 23:54,Brandon Lipman,
Whitehall Elementary School - Monroe Township Public School District,Education,New Jersey Public Records - School Data,Whitehall Elementary School,Monroe Township Public School District - Gloucester County,Gloucester,None,161 Whitehall Rd,,Williamstown,United States,1/25/19 23:56,Brandon Lipman,
Whitehouse School - Readington Township School District,Education,New Jersey Public Records - School Data,Whitehouse School,Readington Township School District - Hunterdon County,Hunterdon,None,50 Whitehouse Ave,,Whitehouse Station,United States,1/25/19 23:56,Brandon Lipman,
Whitman Elementary School - Washington Township School District,Education,New Jersey Public Records - School Data,Whitman Elementary School,Washington Township School District - Gloucester County,Gloucester,None,827 Whitman School Dr,,Turnersville,United States,1/25/19 23:56,Brandon Lipman,
Whitney E. Houston Academy - East Orange School District,Education,New Jersey Public Records - School Data,Whitney E. Houston Academy,East Orange School District - Essex County,Essex,None,215 Dodd St,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
"Whitney M. Young, Jr. School - Jersey City Public Schools",Education,New Jersey Public Records - School Data,"Whitney M. Young, Jr. School",Jersey City Public Schools - Hudson County,Hudson,None,135 Stegman St,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Wilbur Watts Intermediate School - Burlington City Public School District,Education,New Jersey Public Records - School Data,Wilbur Watts Intermediate School,Burlington City Public School District - Burlington County,Burlington,None,550 High Street,,Burlington,United States,1/25/19 23:54,Brandon Lipman,
Wildwood High School - Wildwood City School District,Education,New Jersey Public Records - School Data,Wildwood High School,Wildwood City School District - Cape May County,Cape May,None,4300 Pacific Ave,,Wildwood,United States,1/25/19 23:55,Brandon Lipman,
Wildwood Middle School - Wildwood City School District,Education,New Jersey Public Records - School Data,Wildwood Middle School,Wildwood City School District - Cape May County,Cape May,None,4300 Pacific Ave,,Wildwood,United States,1/25/19 23:55,Brandon Lipman,
Willard Elementary School - Ridgewood Public School District,Education,New Jersey Public Records - School Data,Willard Elementary School,Ridgewood Public School District - Bergen County,Bergen,None,601 Morningside Rd,,Ridgewood,United States,1/25/19 23:54,Brandon Lipman,
William Allen Middle School - Moorestown Township Public School District,Education,New Jersey Public Records - School Data,William Allen Middle School,Moorestown Township Public School District - Burlington County,Burlington,None,801 N Stanwick Road,,Moorestown,United States,1/25/19 23:54,Brandon Lipman,
William Cullen Bryant School - Teaneck School District,Education,New Jersey Public Records - School Data,William Cullen Bryant School,Teaneck School District - Bergen County,Bergen,None,1 Tryon Avenue,,Teaneck,United States,1/25/19 23:54,Brandon Lipman,
William Davies Middle School - Hamilton Township School District,Education,New Jersey Public Records - School Data,William Davies Middle School,Hamilton Township School District - Atlantic County,Atlantic,None,1876 Dr Dennis Foreman Drive,,Mays Landing,United States,1/25/19 23:54,Brandon Lipman,
William G. Rohrer Middle School - Haddon Township School District,Education,New Jersey Public Records - School Data,William G. Rohrer Middle School,Haddon Township School District - Camden County,Camden,None,101 Macarthur Boulevard,,Westmont,United States,1/25/19 23:55,Brandon Lipman,
